Question,expected_answer,actual_answer,eval_score,eval_reasoning,latency,factual_accuracy,completeness,relevance,clarity
"What is the maximum grant for ""Listing Support"" at IFSC?","The maximum grant available for the ""Listing Support Grant"" is up to ₹15 lakh.",,0,,0.0,,,,
"Can a ""Listing Support Grant"" be used for domestic road shows?","The ""Listing Support Grant"" is available for supporting Domestic FinTech Entities (FEs) aspiring to go for listing on stock exchanges recognized by the Authority. The grant can be used for meeting expenses pertaining to road shows, international travel, and listing requirements, etc.. Since the term ""road shows"" is listed without geographical restriction, and the grant is for Domestic FEs aspiring to list, it implies that the grant can be used for domestic road shows as well as international travel associated with the listing.",,0,,0.0,,,,
Who scrutinizes applications for the FinTech Incentive Scheme?,The Authority (International Financial Services Centres Authority) scrutinizes the applications for the FinTech Incentive Scheme.,,0,,0.0,,,,
Who evaluates the FinTech applications?,"The application for the FinTech Incentive Scheme is evaluated by an Evaluation Committee, which then submits its recommendation, comments, and observations to the Authority. The Authority (International Financial Services Centres Authority) makes the final decision after being satisfied with the committee's recommendations.",,0,,0.0,,,,
Who monitors the end use of the grant under the Incentive Scheme?,The Internal Committee monitors the end use of the grant under the FinTech Incentive Scheme.,,0,,0.0,,,,
What must an FE do upon successful completion of the Sandbox or Accelerator program?,"Upon successful completion of the Sandbox/accelerator/cohort/special program, the FinTech Entity (FE) must incorporate an entity at the IFSC and seek registration/license/authorisation, if applicable, under the Act.",,0,,0.0,,,,
What is the restriction on implementing a successful solution developed using the grant in other jurisdictions?,A FinTech Entity (FE) that uses the grant under this scheme for a successful solution must undertake not to implement that solution in any other jurisdiction for a period of 3 years.,,0,,0.0,,,,
What is the penalty if an FE fails to meet the conditions of the grant sanction?,"If a FinTech Entity (FE) fails to meet any conditions of the sanction of a grant, the FE shall undertake to return the grant to the Authority along with simple interest at the rate of 8% per annum.",,0,,0.0,,,,
What is the time limit for IFSCA to release grant disbursement?,"The Authority (IFSCA) shall normally release the grant disbursement within 30 working days of the submission of all necessary documents. The disbursement is done on a 'reimbursement' basis after the submission of necessary documents, invoices, and technical reports, etc.",,0,,0.0,,,,
"Does the Incentive Scheme allow for ""Advance"" disbursement of funds?","Yes, the Incentive Scheme allows for ""Advance"" disbursement of funds, but it may be considered only under exceptional circumstances.",,0,,0.0,,,,
"If an applicant has already received a grant from the State Government for the same project, can they apply?","No, an entity that has received any grant earlier from the Central or State Government schemes for the same project scope and activities shall not be eligible to apply under the FinTech Incentive Scheme.",,0,,0.0,,,,
"Are prize moneys from competitions considered ""prior grants"" for eligibility?","No, prize money from competitions and grand-challenges, as well as founder monthly allowance, shall not be considered as grant received earlier for the purpose of determining eligibility for the FinTech Incentive Scheme.",,0,,0.0,,,,
Can a foreign entity apply for the FinTech Incentive Scheme?,"Yes, a foreign entity can apply for the FinTech Incentive Scheme.1

The scheme is open to ""Foreign FinTechs"" seeking market access to IFSCs in India and wishing to work within the Authority's regulatory framework, or those seeking access to the domestic market under the Inter-Operable Regulatory Sandbox (IORS) framework.",,0,,0.0,,,,
What shareholding requirement applies to a foreign corporate applicant?,"Where a foreign corporate applicant is a body corporate incorporated outside India, the shareholding of non-resident Individuals in the applicant must, at all times, be more than 51%.",,0,,0.0,,,,
Can an applicant submit multiple proposals under the scheme?,"Yes, an applicant can submit multiple proposals under the scheme.1

If there is more than one project or innovative component, and each one fits the qualifying criteria, the applicant is required to submit separate proposals. These proposals shall be treated as separate projects and will be evaluated and incentivized separately.",,0,,0.0,,,,
"What is Milestone 1 (M1) for the ""Start-up Grant""?","Milestone 1 (M1) for the ""FinTech Start-up Grant"" is identifying users, market needs, and features to be built in the Minimum Viable Product (MVP) under the IFSCA Sandbox, which accounts for 30% of the grant amount.",,0,,0.0,,,,
"What is Milestone 2 (M2) for the ""Start-up Grant""?","Milestone 2 (M2) for the ""FinTech Start-up Grant"" is Tie-up with at least one partner for the completed MVP (30%).",,0,,0.0,,,,
"What is Milestone 3 (M3) for the ""Start-up Grant""?","Milestone 3 (M3) for the ""FinTech Start-up Grant"" is Obtaining Limited Use Authorization (Regulatory Sandbox)/Authorization, as applicable under Framework for Fintech Entities in the IFSCs, for the project applied under the Scheme (40%).",,0,,0.0,,,,
"What is Milestone 1 (M1) for the ""Proof of Concept (PoC) Grant""?","Milestone 1 (M1) for the ""Proof of Concept (PoC) Grant"" is Establishing users, market needs and features to be built in the POC (30%).",,0,,0.0,,,,
"What constitutes Milestone 2 (M2) for the ""Accelerator Grant""?","Milestone 2 (M2) for the ""Accelerator Grant"" constitutes Minimum 5 completed applications under Framework for FinTech Entities in the IFSCs from the cohort (50%).",,0,,0.0,,,,
"What is Milestone 1 (M1) for the ""Listing Support Grant""?","Milestone 1 (M1) for the ""Listing Support Grant"" is the Submission of Draft Offer Document to IFSCA (75%).",,0,,0.0,,,,
"What is Milestone 3 (M3) for the ""Sandbox Grant""?","Milestone 3 (M3) for the ""Sandbox Grant"" is Obtaining Limited Use Authorization (Regulatory Sandbox)/Authorization as applicable under Framework for Fintech Entities in the IFSCs, for the project applied under the Scheme (40%).",,0,,0.0,,,,
"What documents are required to claim reimbursement for ""Manpower"" costs?","To claim reimbursement for ""Manpower"" costs, the acceptable/eligible documents required are:
Salary slips and bank account statement of the Grantee.
Employee ID cards of employees.",,0,,0.0,,,,
"Are expenses for ""Cloud Services"" reimbursable under the Incentive Scheme?","Yes, expenses for ""Cloud service"" are included in the illustrative list of permissible expenses for reimbursement under the IFSCA (FinTech Incentive) Scheme, 2022, under the ""Technology Hardware, Information and Administration & Maintenance"" expense head.",,0,,0.0,,,,
"Are ""Utility Bills"" eligible for reimbursement under the Incentive Scheme?","Yes, ""Utility bills"" are included in the illustrative list of permissible expenses for reimbursement under the IFSCA (FinTech Incentive) Scheme, 2022. These fall under the ""Technology Hardware, Information and Administration & Maintenance"" expense head.",,0,,0.0,,,,
"Are expenses for ""Software Licenses"" reimbursable?","Yes, expenses for ""Software Licenses"" are reimbursable under the IFSCA (FinTech Incentive) Scheme, 2022. These expenses fall under the ""Technology Hardware, Information and Administration & Maintenance"" expense head.",,0,,0.0,,,,
"What documents are needed for reimbursement of ""Consultancy"" fees?","The acceptable/eligible documents needed for reimbursement of ""Consultancy support"" fees are the Consultancy fee payment receipt or the bank account statement.",,0,,0.0,,,,
"Is ""Rent"" a permissible expense for reimbursement?","Yes, ""Rent"" is a permissible expense for reimbursement under the IFSCA (FinTech Incentive) Scheme, 2022. Specifically, ""Broadband or Lease-Line Rent"" is included under the ""Technology Hardware, Information and Administration & Maintenance"" expense head. The document specifies that a ""Rent receipt, utility bill payment receipt"" is an acceptable document for reimbursement.",,0,,0.0,,,,
"Are ""Broadband or Lease-Line"" expenses reimbursable?","Yes, ""Broadband or Lease-Line Rent"" expenses are reimbursable under the IFSCA (FinTech Incentive) Scheme, 2022. These expenses fall under the ""Technology Hardware, Information and Administration & Maintenance"" expense head.",,0,,0.0,,,,
"Can expenses for ""Trade Shows"" be reimbursed?","Yes, expenses related to booth/stall setup at trade shows, exhibitions, conferences are reimbursable for all grantees under the ""Marketing & Media"" expense head.",,0,,0.0,,,,
"What defines a ""Finance Company"" (FC)?","A ""Finance Company"" (FC) is defined as a financial institution that is separately incorporated in the International Financial Services Centre (IFSC) for the purpose of undertaking one or more permissible activities specified under the FC Regulations, provided:
It does not accept public deposits from residents and non-residents, as defined in the FC Regulations.1
It is not registered with the Authority as a Banking Unit.2
A 'Public deposit' refers to an amount raised from a resident or a non-resident, in any form, which is repayable on demand or is a term deposit, and includes such other amount as may be specified by the Authority from time to time.",,0,,0.0,,,,
"What defines a ""Finance Unit"" (FU)?","A ""Finance Unit"" (FU) is a financial institution set up as a branch in the IFSC to undertake permissible activities, provided it does not accept public deposits and is not registered as a Banking Unit.",,0,,0.0,,,,
Can a Finance Company accept public deposits?,"No, a Finance Company (FC) does not accept public deposits.1

A ""Finance Company"" is defined as a financial institution that undertakes permissible activities, provided that It does not accept public deposit from resident and non-resident, as defined in FC Regulations.",,0,,0.0,,,,
What condition must a Finance Unit (FU) undertaking core activities fulfill regarding its home jurisdiction?,"A Finance Unit (FU) undertaking core activities must fulfill the following conditions regarding its home jurisdiction:
It shall be an incorporated entity in its home jurisdiction.1
It shall be engaged in the business of financial services.2
It shall be regulated by a financial sector regulator in its home jurisdiction.3
It shall obtain a No-Objection Certificate from the home regulator for setting up a FU in the IFSCs.4
These conditions do not apply to an applicant intending to undertake the activity of a Global / Regional Corporate Treasury Centre as a Finance Unit",,0,,0.0,,,,
What legal forms are permitted for setting up a Finance Company?,"A Finance Company can be set up either as a subsidiary, a joint venture, or as a newly incorporated company under the Companies Act, 2013, or in any other form as may be specified by the Authority from time to time.",,0,,0.0,,,,
Are promoters from high-risk jurisdictions allowed for FCs?,"No, the promoters, founders, group entities, directors, shareholders, or Ultimate Beneficial Owners (up to a natural person) of a Finance Company (FC) or Finance Unit (FU) shall not be from countries or jurisdictions which are identified by FATF as High-Risk Jurisdictions subject to a Call for Action (commonly referred to as the Blacklist).'",,0,,0.0,,,,
"What are examples of ""Core Activities"" for a Finance Company?","While the document does not provide a definitive list labeled ""Core Activities,"" the prudential regulatory requirements apply only to Finance Companies or Finance Units undertaking permissible core activities.",,0,,0.0,,,,
"Can a Finance Company act as a ""Portfolio Manager""?","A Finance Company (FC) or Finance Unit (FU) can undertake Portfolio Management Services as a non-core activity. However, for carrying out such non-core activities, the FC/FU shall obtain separate registration under relevant activity specific regulations/frameworks issued or notified by the Authority.",,0,,0.0,,,,
Can an FC/FU undertaking non-core activities invest in securities?,"Yes, a Finance Company (FC) or Finance Unit (FU) registered for carrying out one or more non-core activities is permitted to undertake investment activities, but only for the purpose of liquidity and balance sheet management as part of its normal business operations.1

In this context, such investment activity will not be treated as a core activity for the purpose of the FC Regulations.",,0,,0.0,,,,
Can an FC/FU undertaking non-core activities carry out derivative transactions?,"Yes, a Finance Company (FC) or Finance Unit (FU) undertaking non-core activities may carry out derivative transactions, but only for the purpose of hedging their underlying exposures, meaning they can act as a 'client/user'.",,0,,0.0,,,,
"What is the Minimum Owned Fund (MOF) for an FC undertaking ""Core Activities""?","The Minimum Owned Fund (MOF) requirement for a Finance Company (FC) undertaking one or more core activities (with or without non-core activities), except for Global/Regional Corporate Treasury Centres, is the Higher of USD 3 million or the minimum regulatory capital for core activities as specified by the Authority. It could also be any higher amount as specified by the Authority.",,0,,0.0,,,,
"What is the MOF for an FC undertaking only ""Non-Core Activities""?",The Minimum Owned Fund (MOF) requirement for a Finance Company (FC) undertaking only non-core activities is the Higher of USD 0.2 million or any such amount as may be required to seek specific registration for a proposed non-core activity under the respective Framework/Regulation for that particular activity.,,0,,0.0,,,,
"What is the prudential ""Capital Ratio"" requirement for an FC?","The prudential Capital Ratio (CR) requirement for a Finance Company (FC) or Finance Unit (FU) is to maintain a minimum capital ratio at eight percent of its regulatory capital to its risk-weighted assets, or at such a percentage as may be specified by the Authority.",,0,,0.0,,,,
"What is the ""Exposure Ceiling"" for a single counterparty for an FC?","The ""Exposure Ceiling"" (EC) for a single counterparty for a Finance Company (FC) or Finance Unit (FU) is that the sum of all its exposures to a single counterparty or group of connected counterparties shall not exceed twenty-five percent of its available eligible capital base without the approval of the Authority.",,0,,0.0,,,,
"Does a ""Global Treasury Centre"" need to meet prudential norms?","A ""Global/ Regional Corporate Treasury Centre"" (GRCTC) is generally exempt from the requirements of the Prudential regulations.1

However, this exemption is subject to the following conditions:
The GRCTC must have a Board-approved prudential policy.1
The GRCTC must adhere to the Fit and Proper criteria set out by the Authority.",,0,,0.0,,,,
"What approval is needed for a ""Change in Control"" of an FC?","Any merger, acquisition, takeover, or change in management of a Finance Company (FC) that results in a change in control of at least twenty percent of the total share capital of the FC, or of business decisions under an agreement, requires prior approval from the Authority.",,0,,0.0,,,,
"Can a Finance Company undertake ""Insurance Distribution""?","Yes, a Finance Company (FC) can undertake ""Insurance Distribution"" as a non-core activity.

If an FC intends to undertake distribution of insurance products, it will need to seek separate registration under the IFSCA (Insurance Products and Pricing) Regulations, 2022.",,0,,0.0,,,,
What is the application email for Finance Company registration?,"The application forms and supporting documents for Finance Company registration should be sent electronically to applications@ifsca.gov.in, with copies marked to financecomp-queries@ifsca.gov.in.",,0,,0.0,,,,
What is the processing time for a Non-Core Finance Company application?,"The processing time prescribed for a Finance Company (Non-Core) application is 60 days from the date of complete application/information and the application fee. However, the Authority will generally strive to take a final decision on all applications within 45 days.",,0,,0.0,,,,
Can an FC pay its application fees in INR?,"Yes, an applicant, including a Finance Company (FC), has the option to remit the application fee and the registration fee in INR. However, all other applicable fees should be paid in USD only.",,0,,0.0,,,,
"Who must submit the ""Information on Management"" (IOM) for an FC?","The ""Information on Management"" (IOM) for a Finance Company (FC) must be submitted by the following natural persons (not body-corporates):
Promoters, Founders, Directors/Partners/Designated Partners, and Key Managerial Personnel.1
Persons/Shareholders having 10% and above share/voting rights/distributable dividend (directly or indirectly).1
Beneficial Owners of a Trust of the Applicant.",,0,,0.0,,,,
Is the Certificate of Registration (CoR) for an FC subject to annual renewal?,"No, the Certificate of Registration (CoR) granted to a Finance Company (FC) or Finance Unit (FU) is not subject to annual renewal.",,0,,0.0,,,,
"Who is eligible to apply as a ""Domestic FinTech"" under the FE Framework?","I apologize, but the document you are viewing, ""draft-faqs-post-legal-consultation-11-6-2023-final-version11062024094558.pdf,"" pertains to the Finance Company (FC) / Finance Unit (FU) Regulations and does not contain information regarding the eligibility criteria for a ""Domestic FinTech"" under the FE Framework (FinTech Entity Framework).",,0,,0.0,,,,
What is the revenue track record requirement for Direct Authorization?,"For Direct Authorization as a FinTech Entity (FE) under Chapter I, the applicant must have a revenue earning track record in at least one of the last three financial years.",,0,,0.0,,,,
"What is the application fee for a ""Direct Authorization"" as a FinTech Entity?","The application fee for a ""Direct Authorization"" as a FinTech Entity is USD 500.",,0,,0.0,,,,
What is the Annual Authorization Fee for a FinTech Entity?,"The Annual Authorization Fee for a FinTech Entity is USD 1,500.",,0,,0.0,,,,
What is the application fee for the Regulatory Sandbox?,"The application fee for the IFSCA FinTech Regulatory Sandbox (FRS) is USD 100, which applies to Foreign FinTech Applicants seeking Limited Use Authorization.
",,0,,0.0,,,,
"What is the fee for ""Limited Use Authorization"" (Sandbox) for a Foreign Applicant?","The fee for ""Limited Use Authorization"" (Sandbox) for a Foreign FinTech Applicant is USD 500.",,0,,0.0,,,,
Does a FinTech Entity need a physical presence in IFSC?,"Yes, a FinTech Entity (FE) must establish a physical presence in the IFSC as a condition of Authorization by either separately incorporating an entity in the IFSC or establishing a branch or a subsidiary there.",,0,,0.0,,,,
Can a FinTech Entity transact in INR?,"No, a FinTech Entity (FE) shall transact in freely convertible foreign currency only. However, the FinTech Entity may defray their administrative expenses in INR by maintaining an SNRR account",,0,,0.0,,,,
"What is the maximum duration for the ""Testing Stage"" in the Sandbox?",The maximum duration of the sandbox testing stage is twelve months. This duration may be extended further by six months upon request of the FinTech Entity (FE).,,0,,0.0,,,,
Can a FinTech Entity exit the Sandbox on its own?,"Yes, a FinTech Entity (FE) may exit the sandbox on its own by giving a prior written notice of thirty working days to the Authority, of its intention to exit the sandbox.",,0,,0.0,,,,
What happens to user data if a Sandbox approval is revoked?,"Upon revocation of an approval to participate in the Sandbox, the FinTech Entity (FE) must comply with obligations imposed by the Authority to dispose of all confidential information including user's personal information collected over the duration of the testing.",,0,,0.0,,,,
"Is ""Agri Tech"" a permissible activity under the FE Framework?","Yes, ""Agri Tech"" is listed as an illustrative area/activity under TechFin, which is a permissible activity under the FinTech Entity (FE) Framework.1

TechFin refers to providing an advanced or emerging technology solution in allied areas/activities which aid and assist activities in relation to financial products, financial services, and financial institutions.",,0,,0.0,,,,
"Is ""Cyber Security"" considered a permissible TechFin activity?","Yes, ""Cyber security"" is included in the illustrative list of permissible allied areas/activities under TechFin. TechFin involves providing an advanced or emerging technology solution in allied areas/activities which aid and assist financial products, financial services, and financial institutions.",,0,,0.0,,,,
"What is the ""Innovation Sandbox""?","The ""Innovation Sandbox"" is a testing environment where FinTech Entities (FE) can test their solutions in isolation from the live market, based on market-related data made available by the regulated entities in IFSC.",,0,,0.0,,,,
What regulatory requirement CANNOT be relaxed in the Sandbox?,"The regulatory requirements that cannot be relaxed in the Sandbox are:
Customer Confidentiality information.
Fit and proper criteria, particularly on honesty and integrity.
Handling of customer's moneys and assets by intermediaries.
Prevention of money laundering and countering the financing of terrorism.
Risk checks (like price check, order value check, etc.).
Principles of Know-Your-Customer (KYC).
Anti-Money Laundering (AML) rules.
Customer/investor protection requirements.",,0,,0.0,,,,
What regulatory requirements MAY merit relaxation in the Sandbox?,"The regulatory requirements that may merit relaxation for the duration of the Sandbox testing, as illustrated in the framework, include:
Net worth
Track record
Registration fees
IFSCA Guidelines, such as technology risk management guidelines and outsourcing guidelines
Financial soundness
Board composition
Management experience
Asset maintenance requirement
The Authority will determine the specific legal and regulatory requirements it is prepared to relax for each case, depending on the proposed FinTech idea or solution and the application made.",,0,,0.0,,,,
Can a FinTech Entity maintain books of accounts in INR?,"No, a FinTech Entity (FE) shall maintain its records, documents, and books of accounts in a freely convertible foreign currency other than INR. The specific foreign currency must be declared by the applicant when making an application.",,0,,0.0,,,,
Do FinTech Entities need to submit audited financial statements?,"Yes, every FinTech Entity is required to furnish a Duly certified copy of its audited annual financial statements within 30 days of its finalization to the IFSCA.",,0,,0.0,,,,
"What is the ""Inter-Operable Regulatory Sandbox (IoRS)""?","The ""Inter-Operable Regulatory Sandbox"" or ""IORS"" is a testing environment for innovative hybrid financial products/services that fall within the regulatory ambit of more than one domestic financial sector regulator.",,0,,0.0,,,,
"If a Sandbox application is rejected, when can the applicant re-apply?","If an application for the IFSCA FinTech Regulatory Sandbox (FRS) is rejected at any stage, the FinTech Entity (FE) may re-apply when it is ready to meet the objective and eligibility criteria of the sandbox, subject to an appropriate cooling off period as decided by the IFSCA.",,0,,0.0,,,,
"What change did the April 2025 Amendment bring to ""Trusteeship Services""?","I am sorry, but the provided document, ""Framework for FinTech Entity in the International Financial Services Centres (IFSCs),"" does not contain information about the April 2025 Amendment or changes related to ""Trusteeship Services."" The document is dated April 27, 2022.",,0,,0.0,,,,
"What is the definition of ""Investment Trust"" under the 2025 Amendment?","Under the amendment effective April 17, 2025, the Explanation clarifies that the ""Investment Trust"" refers to structures such as Infrastructure Investment Trusts (InvITs), Real Estate Investment Trusts (REITs), and any other structure of similar nature set up under a Trust.",,0,,0.0,,,,
Can Trusteeship Services be provided to retail schemes under the 2025 amendment?,"Yes, Trusteeship Services may be provided to various schemes, including retail schemes, launched by the Fund Management Entities (FMEs) registered under the IFSCA (Fund Management) Regulations, 2025.",,0,,0.0,,,,
Does the April 2025 Amendment replace the entire 2021 Framework?,"No, the April 17, 2025, circular does not replace the entire 2021 Framework. It specifically substitutes clause 4.3 (Trusteeship Services) of Annexure I to the IFSCA (Ancillary Services) Framework, 2021.",,0,,0.0,,,,
"What is the ""Application Fee"" for an Ancillary Service Provider?","The Application Fee for Authorisation under ancillary services is USD 1,000 per activity.",,0,,0.0,,,,
"What is the ""Authorisation Fee"" for an Ancillary Service Provider?","The Application Fee for Authorisation under ancillary services is USD 1,000 per activity.",,0,,0.0,,,,
"What is the ""Annual Fee"" for an Ancillary Service Provider?","The Annual Fee for an Ancillary Service Provider is USD 1,000 per activity.",,0,,0.0,,,,
Can an Ancillary Service Provider transact in INR?,"No, Ancillary Service Providers must transact in freely convertible foreign currency only. However, service providers may defray their administrative expenses in INR by maintaining an INR account.",,0,,0.0,,,,
What tax holiday is available for Ancillary Service Providers?,An Ancillary Service Provider is eligible for a tax holiday for 10 consecutive years out of a block of 15 years in respect of income from business carried on in the IFSC.,,0,,0.0,,,,
Who approves the setting up of an Ancillary Service Provider?,"The approvals required for setting up a unit as an Ancillary Service Provider in the IFSC are:
Approval from the SEZ Division.
Authorisation from the IFSCA.
Any other approval that the applicant may be required under other applicable laws.",,0,,0.0,,,,
"Is ""Legal Services"" a permissible Ancillary Service?","Yes, ""Legal Services"" is a permissible Ancillary Service under the Framework for Ancillary Services at IFSC, specifically listed under the category of ""Legal, Compliance and Secretarial"" services.",,0,,0.0,,,,
Can an Indian entity set up a branch as an Ancillary Service Provider?,"Yes, an Indian incorporated entity can act as an Ancillary Service Provider in the IFSC by establishing a Branch or a subsidiary.",,0,,0.0,,,,
What is the GST implication for Ancillary Service Providers?,"No GST on services:
received by a unit in the IFSC; and
provided by IFSC / SEZ units to offshore clients.",,0,,0.0,,,,
"Can an Ancillary Service Provider undertake ""Debenture Trustee"" activities?","No, an Ancillary Service Provider cannot undertake ""Debenture Trustee"" activities under the Ancillary Framework.",,0,,0.0,,,,
"When is the Ancillary ""Authorisation Fee"" paid?","The Ancillary ""Authorisation Fee"" shall be paid after the IFSCA processes the application and intimates the applicant of the grant of In-principle approval.",,0,,0.0,,,,
Can Ancillary Service Providers serve Indian entities?,"Yes, Ancillary Service Providers can serve Indian entities. They can provide permissible services to Indian entities that propose to open, set up, or carry out operations in IFSCs or foreign jurisdictions. However, the consideration for these services must be received in freely convertible foreign currency",,0,,0.0,,,,
"At what stage is the ""Application Fee"" paid for Ancillary Services?",The Application Fee for Ancillary Services should be paid at the time of submitting the application form to the IFSCA along with all supporting documents. The IFSCA will only take applications on record for processing if they are submitted with supporting documents and the application fee.,,0,,0.0,,,,
"Is ""Auditing Services"" a permissible Ancillary Service?","Yes, Auditing Services are a permissible Ancillary Service in the IFSC. They are listed under the broad categories of permissible ancillary activities.",,0,,0.0,,,,
